State,Year,1: Opportunity,1A: Poverty,1B: Employment,1C: Community vitality,1D: Education,1Di: 8th grade test scores,2: Health & Environment,2A: Physical health,2B: Mental health ,2C: Environmental health,3: Freedom,4: Community & Relationships,4A: Community life,4Aii: Religious Engagement,4B: Family life,5: Living Standard,5A: Current living standard,5B: Improvement in living standard,5Bii: Perceived improvement in living standard,6: Peace & Security,Summary Score
Massachusetts,2009,4.76392484907852,5.572763101075653,4.478372398871707,2.4653999783350615,6.539163918031659,9.836021951990347,8.001082186155903,7.776658866600343,7.045987691867366,9.1806,4.838577551039649,5.768375240714666,5.870040947509043,5.041089149998536,5.666709533920288,5.860127879061299,8.263607028332164,3.4566487297904334,4.193,6.532693716114661,5.877169773586584
Michigan,2009,3.608653257543711,3.2738911973244615,2.5443478795818013,1.4963333333333333,7.120040619935248,9.357713621270303,7.430839996056417,6.737646435707609,6.503873552461641,9.051,4.718651217638759,6.274118251204351,6.906586060515504,6.58531152772044,5.641650441893198,4.813622754338671,7.243149213972478,2.384096294704865,4.046,5.72076291443627,5.273414185033157
Minnesota,2009,6.033444589573414,5.810596680954087,6.4041319257139975,2.9375116260325194,8.981538125593053,9.747468403685312,7.8791366309946405,7.4095016152132445,6.842108277770677,9.3858,4.938388636508247,7.027667261132401,7.957156527552397,6.696901984889923,6.0981779947124055,5.650056073864106,8.21931313915857,3.080799008569642,4.3395,7.127249719409173,6.256671596309645
Mississippi,2009,2.4497399587754174,0.3012132804764409,2.572023696259818,2.420704064672807,4.505018793692605,8.654220362763505,7.094560042142182,6.232310749892011,6.267169376534532,8.784200000000002,4.407423773024815,6.5341111369014175,7.621733623730478,9.3,5.446488650072357,5.732929832373473,7.285453211558895,4.18040645318805,4.4665,6.057763840480122,5.470351220098627
Missouri,2009,3.944205395405349,3.0997443090214643,4.524664847504157,2.882520448324746,5.269891976771029,9.562102199704155,7.2568902463252885,6.648759237956393,6.059111501019472,9.0628,5.728529285923135,6.151972911224943,7.254170810443506,7.2552968443244925,5.049775012006381,5.834522259742446,7.841684522372895,3.827359997111997,4.567,6.026388246045347,5.835529262607407
Montana,2009,3.9740648516921095,3.5503792739875184,5.532309676467719,2.3757472855090316,4.437823170804169,9.788310771250515,7.212670379162162,7.441144470819817,5.195666666666667,9.0012,5.367689721238123,6.5293238768210635,7.397799064236753,6.031502356793794,5.660848689405373,5.44912064270679,7.738997356223852,3.1592439291897283,4.613,7.026797387014439,5.959775448598364
Nebraska,2009,5.5286461996937835,5.217602851284642,7.507504344922822,3.6605979782885565,5.728879624279113,9.63080600951011,7.752409225819561,7.070705040633583,7.024322636825096,9.162200000000002,5.33022417110435,7.056075825965745,8.092417719858867,7.093345285762628,6.019733932072622,6.455169886529968,8.263552906578813,4.646786866481124,4.6754999999999995,6.919642017921999,6.098847831872371
Nevada,2009,4.307386929265824,5.437373397091326,4.027742807233557,2.1954199966553385,5.569011516083073,8.973202603614746,6.97591034602175,7.112869793736241,4.985861244329008,8.829,5.599247377066646,5.009726521019857,5.223492697570975,5.25904364523959,4.795960344468739,4.589034174693188,7.3408183493863755,1.83725,3.6745,5.1991249598065465,4.8843785049172
New Hampshire,2009,5.736308650553383,7.609714727238684,6.075219937678163,2.4148931237879365,6.845406813508745,9.76089840529042,7.651756164057864,7.317712302366469,6.495756189807122,9.1418,6.013730920081266,5.882169563294076,5.797409901894097,4.593616859745204,5.966929224694054,5.690323673362727,7.865161199470988,3.515486147254466,4.4375,7.629757247977868,6.215050923755192
New Jersey,2009,5.138116084663974,7.111961483809742,4.382886229653914,2.146756999476853,6.910859625715388,9.677979498683369,7.973656250236478,7.542060912236142,7.248907838473291,9.13,3.5301212777612827,5.821039360734808,5.8927030045898405,6.144148960742163,5.749375716879776,5.51895177698192,8.055549288887928,2.982354265075913,4.1485,6.769877922754167,5.814901092104013
New Mexico,2009,3.8167803829057143,1.7246099028938369,4.351669856078383,2.602420374658641,6.588421397991996,8.965120506494602,7.042415630275344,7.226950921187988,5.121095969638044,8.7792,5.286740164721905,5.340497199522064,6.466780358822155,7.1915669361989805,4.214214040221972,5.968181284523084,7.592489074067318,4.3438734949788484,5.0295000000000005,5.043816462274883,5.398472240377401
New York,2009,3.9500548010388075,3.3636284899386597,3.9520649436984527,3.1180825994431687,5.366443171074949,9.337424439710519,7.884043141249478,7.485962098135688,7.156967325612747,9.009200000000002,2.5169606717852258,5.479964645821857,5.342856421873725,5.825165476120481,5.617072869769989,5.690331546500601,7.715564393893967,3.6650986991072347,4.3805,6.537295801328263,5.362860613457424
North Carolina,2009,3.305311702337654,2.45768318674369,3.362298633691925,2.2170976137730647,5.184167375141937,9.20972380995753,7.3688703963963915,6.718062178909261,6.327149010279914,9.061399999999999,5.234160109502646,6.240924613039507,7.074327731096208,8.20518821473146,5.407521494982806,5.297862791643389,7.504726503939477,3.090999079347303,4.5575,5.183682049466745,5.567668030211662
North Dakota,2009,5.803161485638887,4.509480896216573,8.332208271612815,4.640406436704998,5.730550338021161,9.790844078511842,7.505741814605517,7.024819730348586,6.4104057134679655,9.081999999999999,5.716870643824706,6.921362045824381,7.728510163580833,7.322529136780783,6.114213928067928,7.394566163899969,8.612657795099985,6.176474532699954,4.1105,7.545053782865468,6.246246189840029
Ohio,2009,3.9574338342128805,3.39664773944611,3.7957508261558632,1.5894229058747003,7.047913865374849,9.606752047275512,7.472422022115386,6.743405700611927,6.682460365734232,8.9914,4.645965415321006,5.97834676283034,7.087852169135456,6.77155446219667,4.868841356525225,5.524099074463994,7.638375389275617,3.4098227596523714,4.2995,5.9722180354987,5.310224521663693
Oklahoma,2009,4.567602985622308,3.338112635844791,5.501980236427927,3.649828694659026,5.780490375557489,9.161946448694062,7.013495134631072,6.353349141043324,5.826936262849892,8.8602,5.730661759762182,6.556351904407085,7.930996383232069,7.954159225350834,5.1817074255821005,5.639482514858096,7.680280017803739,3.5986850119124534,5.107,4.880235886916051,5.695223603099814
Oregon,2009,4.307675669891021,4.187589426301524,3.525393164878725,2.3647154500232848,7.153004638360547,9.488782230844517,7.422179474007957,7.524770217816349,5.617368204207523,9.1244,5.4192996103971875,6.11249167537102,6.851937397551962,5.1664366726917885,5.373045953190077,5.201069170885512,7.456693049086436,2.945445292684589,4.3925,6.429624662542627,5.804807107382937
Pennsylvania,2009,4.823587804027968,4.720523753043256,5.0027598730399925,2.645971500848908,6.925096089179715,9.588844523699402,7.5134256399997845,6.974383001283094,6.41289391871626,9.152999999999999,4.828184305999141,6.345866495128771,6.910305345086053,6.869776112633023,5.7814276451714885,5.818247761854878,7.880153654179852,3.756341869529905,4.237,6.415541174742652,5.774788924637489
Rhode Island,2009,3.7392571444966696,4.089110067774105,3.8993577500912253,1.6476666666666668,5.3208940934546805,9.180330170346823,7.686029501191527,7.4079411049190655,6.545147398655517,9.105,4.281976547155995,5.367895909088137,5.641637665665632,5.364992267122265,5.094154152510642,5.8387323375866504,7.73263373788104,3.944830937292262,4.3515,7.036705074490519,5.216790342291695
South Carolina,2009,3.4448898219992947,2.7437119835665964,2.6962518245541083,2.402717803585064,5.93687767629141,9.120706423016168,7.339508118070769,6.666249190126268,6.277875164086038,9.0744,5.3901173006563825,6.208555787144192,7.513894204728995,8.656190046713832,4.90321736955939,5.113489594694278,7.274852113850482,2.952127075538075,4.5045,4.236026595559821,5.2736137438848605
South Dakota,2009,5.260497699429971,3.5044555107238584,7.51196293658171,3.9497243598624556,6.0758479905518605,9.741555541674837,7.314480908622058,6.857380309210158,5.9686624166560165,9.1174,5.950535662189287,6.881025497386574,8.246970691378973,7.075056846527451,5.515080303394175,7.207544189820066,8.532572972429271,5.882515407210861,5.1775,7.733651486031354,6.369971942997992
Tennessee,2009,3.179136224432712,2.137484268264148,3.207496554071336,1.9760154095444697,5.395548665850895,9.19072603648745,7.053471913494536,6.337194056336826,5.81762168414678,9.0056,5.829827532713321,6.503400497934361,7.894035100038668,8.635762156522627,5.112765895830055,5.392864901286683,7.5791734948022365,3.206556307771129,4.676499999999999,4.689206725018319,5.2865441294419115
Texas,2009,4.6593485411296065,2.8531393971129893,5.1599135734779,4.389221083744407,6.2351201101831295,9.374826603514055,7.4348599952771695,6.835957129357719,6.391422856473791,9.0772,5.458476537591465,6.275887563923843,7.080178226001387,8.015415738526194,5.471596901846299,5.806141256388129,7.881088443607096,3.7311940691691614,5.1655,4.635627908736129,5.703187144472693
Utah,2009,5.899496255631794,6.894939118645498,6.268460864090265,3.047655544458967,7.386929495332448,9.550035447349051,7.395324671821432,7.5390201703111925,5.316153845153104,9.3308,5.345579433274261,8.187334019545716,9.225,8.45,7.149668039091431,5.39609973292944,7.4364538062306185,3.3557456596282615,5.0785,6.862129941066979,6.388879674093561
Vermont,2009,5.202799324056137,5.776016321411626,7.065498975075035,2.264176366184019,5.705505633553869,9.870735892885552,7.622908494762689,7.613477865983856,6.302247618304211,8.953,4.7195782778653745,6.14451594776572,6.757535396671839,3.995449524105367,5.531496498859602,5.714829375605855,7.7651753580128915,3.664483393198818,3.7475,7.5546554594746596,6.1417340885650455
Virginia,2009,5.183914295079538,6.146294006406022,6.080118336342909,2.7968467302157465,5.712398107353476,9.549850039897978,7.636413101365677,7.274761356059586,6.476677948037445,9.1578,5.378073987922429,6.445924557315515,7.134869839084548,7.192984184370246,5.756979275546483,5.755612052289415,8.096066735314391,3.4151573692644384,4.6305000000000005,6.369234927638416,6.014109545000161
Washington,2009,4.650559330871727,5.685942212328836,5.30704465275115,3.093058535104697,4.516191923302224,9.55833924541792,7.541591275116924,7.22108269058592,6.1880911347648535,9.2156,5.116463872810057,6.298510291080655,7.003266662414974,5.3431742861580505,5.5937539197463355,5.838758842805686,8.027744768107379,3.6497729175039937,4.6815,5.892233930918232,5.443586188998213
West Virginia,2009,2.85060111378702,1.9603694473173876,2.9256156848608774,1.8693132252828708,4.647106097686944,9.020926201918565,7.002689721105643,6.352272241000569,6.02279692231636,8.633000000000001,4.777408208521576,6.060048987420448,6.764659824642985,7.30882638605353,5.35543815019791,5.76832571493008,7.300296589268701,4.23635484059146,4.5645,6.050557269188296,5.452962699762105
Wisconsin,2009,5.4105827738300345,5.29720563231009,5.812051431449898,2.271361609589733,8.261712421970419,9.59750709767161,7.5815653580837,6.995586184856026,6.447109889395073,9.302,4.711052027481399,6.656063936107818,7.645967153874635,6.30118088680198,5.666160718341002,5.634006821838749,7.925380423228857,3.3426332204486426,4.4125,6.638026758253856,6.005434775577096
Wyoming,2009,5.9713154020321255,6.53000350750972,7.321981245619832,3.461758439892174,6.571518415106777,9.616276000563277,7.067340100222119,7.2495536339996915,5.1786666666666665,8.7738,4.932958432710501,6.371151773954269,6.856823583054099,5.856181991498799,5.88547996485444,5.258622286630405,8.489244573260809,2.028,4.056,7.223755040307172,5.935450447907885
