State,Year,1: Opportunity,1A: Poverty,1B: Employment,1C: Community basics,1Cii: Communications infrastructure,1D: Entrepreneurship,2: Health & Environment,2A: Physical health,2B: Mental and emotional health,2C: Environmental health,3: Freedom,3A: Political freedom,4: Community & Relationships,4A: Community life,4Aii: Religious Engagement,4B: Family life,4Bi: Prevalence of marriage,4Bii: Prevalence of divorce,5: Living Standard,5A: Current living standard,5Aii: Perceived current living standard,5B: Improvement in living standard,5Bii: Perceived improvement in living standard,6: Peace & Security,Summary Score
"Congo, Rep.",2009,4.456501678003959,2.6187353356499865,6.678768723869376,3.952394403754807,3.952394403754807,4.979276593412295,4.835849196334615,5.465194346876118,7.441666666666666,1.6006865754610604,5.114278358924759,1.05,5.083924977754318,5.336228912407617,8.015791158148568,4.831621043101019,3.169679735874304,6.92184037902586,3.514420708999262,3.3895452420700165,2.5166666666666666,3.639296175928507,2.8833333333333333,5.533738615056506,4.75645225584557
Costa Rica,2009,6.67346594887413,6.856346660932697,5.113700066091507,6.3218477933509725,3.043163223065581,7.8554352239954754,7.787454561575157,9.234167469989028,8.721064641744904,5.407131572991539,8.518122671949559,6.4,5.647402320372905,5.133064926002092,6.426129852004183,6.1617397147437165,4.4959813103417225,4.864673342235675,5.109467678002467,5.863935804047704,5.4,4.354999551957231,3.8,6.959831192799867,6.7826240622623475
Cote D'Ivoire,2009,5.153630465052544,4.116010726110428,6.420487150118012,4.574545733511193,3.610099557931477,6.867108715523088,5.194856573569177,5.812987812274988,7.545,2.2265819084325433,4.693082513379673,1.4333333333333333,5.0986665808795255,4.604713014468906,7.289426028937813,5.592620147290146,3.565889702858592,8.680788733868225,2.832920563176634,2.2873087840502455,1.7,3.3785323423030227,2.25,4.93388264521811,4.6511732235459435
Croatia,2009,7.088563193056598,8.514221834760793,3.680677210111356,9.020486877195822,8.16758415439164,7.897430043215017,7.34316225038874,9.00632567642861,6.483417834891738,6.5397432398458735,7.292950026191282,6.15,5.13604831344044,3.007361938814033,4.904723877628066,7.264734688066849,5.593666572769297,7.272100042872388,3.6493480358138064,4.972928748343076,2.7,2.325767323284537,0.6000000000000001,6.833367944903798,6.223906627299111
Cyprus,2009,7.268852370922489,,5.76767215389383,8.927509935486668,8.024672870973337,8.50022739430946,8.71394869371798,9.409000750404637,8.383047741433224,8.349797589316076,7.211036331470131,6.0,5.561404346255058,4.7470760220459685,5.864152044091936,6.375732670464148,7.064383892070424,6.0340840087650776,5.9992356335613035,7.737295055381219,7.300000000000001,4.261176211741389,3.85,7.714483264244401,7.078160106695228
Czech Republic,2009,7.3804573493670365,9.98909611124846,4.862790132361488,7.647475512995895,7.647475512995895,7.922924990229333,7.98325048481875,9.153632656332952,7.132302920561408,7.663815877561892,8.117755836612233,6.1,3.6450318108075046,2.194270395203908,1.8085407904078163,5.095793226411101,5.415732992945502,1.5868553171435955,4.851686716459502,6.554633078448639,5.15,3.148740354470365,1.9,7.087912128431434,6.511015721082743
Denmark,2009,8.416751689126794,10.0,5.805233203645924,10.0,10.0,8.398525241988054,8.598765491187946,9.303848689543162,8.142650194704602,8.349797589316076,8.708074161537215,6.4,4.566268081320995,3.1439933509718547,1.6579867019437096,5.988542811670135,5.924408960906976,3.374899481464654,6.221733995504472,8.875576456255637,9.149999999999999,3.5678915347533082,4.300000000000001,9.064759570035106,7.596058831452088
Djibouti,2009,3.6503537684044454,4.447956403820079,0.9867559293906227,0.9037088867002921,0.9037088867002921,6.313347622111234,5.945481383040708,5.986048602015191,8.205,3.645395547106933,5.5375,2.316666666666667,6.217207446025846,5.676428209454775,8.52285641890955,6.757986682596916,5.150729570795744,7.361577467736452,5.769921297117987,5.265997776844606,7.35,6.273844817391369,6.9,6.558641646846714,5.613184256905949
Dominica,2009,6.862578288778162,,4.181340900282601,7.192295100881543,7.192295100881543,9.214098865170346,6.436685574651517,8.934110590243666,,3.9392605590593686,10.0,10.0,4.958491487244588,,,4.958491487244588,2.9981799657581227,6.918803008731053,6.547834507475114,6.513908289250348,,6.581760725699881,,7.1509234438715366,6.992752217003486
Dominican Republic,2009,6.444562286017481,6.5711433901322565,4.023758169134128,7.08876314239678,5.266795618126894,8.459146728424242,6.721517651489566,8.006423830372535,8.23,3.928129124096161,7.8634951570022595,5.666666666666667,5.253723775778596,5.005275975469025,6.480551950938049,5.502171576088166,2.872711507152644,5.953934785059285,5.053139966141002,5.085376600786457,4.35,5.020903331495546,3.6500000000000004,5.145499708837644,6.080323090877758
